upc,Department,qty,cents,incltaxes,inclfees,Name,size,ebt,byweight,Fee Multiplier,
033617000491,Food,1,399,n,n,Wasa: Gf,,,n,1,
033617007032,Food,1,349,n,n,Wasa:Multigrain,9.7 oz,,n,1,
033617322616,Food,1,349,n,n,Wasa:Light Rye,9.5 oz,,n,1,
033617340610,Food,1,349,n,n,Wasa:Sourdough,9.7 oz,,n,1,
033617410016,Food,1,349,n,n,Wasa:Light 7 Grain ,4.9 oz,,n,1,
033732009232,Health & Wellness,1,349,n,n,Mack's ultra soft earplugs,3 pair,,n,1,
033776045104,Food,1,499,n,n,Smart Balance:Non-Stick,6.00 OZ,,n,1,
033790000165,Candies/Bars/Gum,1,149,n,n,Mentos: fruit,,,n,1,
034000000074,Candies/Bars/Gum,1,229,n,n,"Ice Breakers:Mints, Cool Mint",1.50 OZ,,n,1,
034000000470,Food,1,699,n,n,"Hershey's:Syrup, Chocolate, Family Size",48.00 OZ,,n,1,
034000000982,Candies/Bars/Gum,1,229,n,n,"Ice Breakers:Sours, Sugar-Free, Assorted",1.50 OZ,,n,1,
034000001217,Candies/Bars/Gum,1,149,n,n,Hershey's Kisses,1.55 OZ,y,n,1,
034000001521,Candies/Bars/Gum,1,149,n,n,Reese's ReeseSticks,1.50 OZ,y,n,1,
034000001651,Candies/Bars/Gum,1,199,n,n,Reese's:Pieces,3.00 OZ,y,n,1,
034000001774,Candies/Bars/Gum,1,229,n,n,Kit Kat White King Size,"=""1""",,n,1,
034000002030,Candies/Bars/Gum,1,239,n,n,Reese's ReeseSticks,4.00 EA,y,n,1,
034000002207,Candies/Bars/Gum,1,229,n,n,"Hershey's:Milk Chocolate, King Size",2.60 OZ,y,n,1,
034000002214,Candies/Bars/Gum,1,229,n,n,"Hershey's:Milk Chocolate with Almonds, King Size",2.60 OZ,,n,1,
034000002238,Candies/Bars/Gum,1,229,n,n,Mr. Goodbar Peanuts In Milk Chocolate,2.6 oz,,n,1,
034000002252,Candies/Bars/Gum,1,199,n,n,Hershey's:Special Dark,2.60 OZ,,n,1,
034000002290,Candies/Bars/Gum,1,199,n,n,Kit Kat Bar King Size,2.80 OZ,y,n,1,
034000002399,Candies/Bars/Gum,1,149,n,n,Hershey's Cookies 'N' Creme,1.55 OZ,,n,1,
034000002405,Candies/Bars/Gum,1,149,n,n,Hershey's Milk Chocolate,1.55 OZ,,n,1,
034000002450,Candies/Bars/Gum,1,149,n,n,Hershey's:Special Dark,1.45 OZ,,n,1,
034000002467,Candies/Bars/Gum,1,159,n,n,Kit Kat,1.50 OZ,y,n,1,
034000003129,Food,1,499,n,n,Hershey's:Genuine Chocolate Flavor Syrup,24.00 OZ,y,n,1,
034000003204,Candies/Bars/Gum,1,149,n,n,"Almond Joy Milk Chocolate, Coconut & Almonds",1.61 OZ,y,n,1,
034000003303,Candies/Bars/Gum,1,149,n,n,York Peppermint Pattie,1.50 OZ,y,n,1,
034000004805,Candies/Bars/Gum,1,239,n,n,Reese's:Peanut Butter Cups,2.80 OZ,y,n,1,
034000005215,Candies/Bars/Gum,1,229,n,n,Mounds - King Size,3.50 OZ,y,n,1,
034000005222,Candies/Bars/Gum,1,239,n,n,Almond Joy Milk Chocolate - Coconut & Almonds,3.22 OZ,,n,1,
034000005246,Candies/Bars/Gum,1,229,n,n,Caramello Milk Chocolate & Creamy Caramel King Size,2.7 oz,,n,1,
034000006533,Candies/Bars/Gum,1,239,n,n,Reese's Nutrageous King Size,3.1 oz,y,n,1,
034000007677,Candies/Bars/Gum,1,119,n,n,"Breath Savers:Mints, Wintergreen",12.00 EA,,n,1,
034000007714,Candies/Bars/Gum,1,119,n,n,"Breath Savers:Breath Mints, Spearmint",0.75 OZ,,n,1,
034000134014,Candies/Bars/Gum,1,199,n,n,Hershey Kisses Milk , ,,n,1,
034000138609,Candies/Bars/Gum,1,199,n,n,Kit Kat:Minis - Unwrapped Mini Crisp Wafers 'n Creme - King Size,2.20 OZ,y,n,1,
034000241323,Candies/Bars/Gum,1,149,n,n,Hersheyâ€™s: White with almond,,,n,1,
034000412013,Food,1,239,n,n,REESES OUTRAGEOUS KS,BX18,,n,1,
034000471539,Candies/Bars/Gum,1,199,n,n,York Unwrapped Mini - Dark Chocolate Covered,2.50 OZ,y,n,1,
034000490066,Candies/Bars/Gum,1,199,n,n,Reese's:Crispy Crunchy Bar,3.10 OZ,y,n,1,
034100002589,Soda,1,229,n,n,Henry Weinhard's:Vanilla Cream,12.00 OZ,,n,1,
034100002596,Soda,1,184,n,n,Henry Weinhard's:Root Beer,12.00 OZ,,n,1,
034100638054,Soda,1,1029,n,n,Henry Weinhard's:Vanilla Cream 12 Oz,6.00 PK,,n,4,
034100668051,Soda,1,1029,n,n,Henry Weinhard's:12 Oz,6.00 PK,,n,1,
034500630184,Dairy,1,499,n,n,Heavy wipe cream,,,n,1,
034742009816,Frozen Food,1,1399,n,n,Glori: Org. Super Smoothe,,,n,1,
034856246343,Candies/Bars/Gum,1,149,n,n,"SQ Worms:Gummi Worms, Sour Neon",2.00 OZ,,n,1,
034856246459,Candies/Bars/Gum,1,149,n,n,"Sour Jacks:Soft & Chewy Sour Candies, Watermelon",2.00 OZ,y,n,1,
035000000590,Household Essentials,1,259,n,n,Palmolive Concentrated Original Dish Liquid,10 Oz,,n,1,
035000001634,Household Essentials,1,229,n,n,Palmolive Anti Bacterial,10 Oz,,n,1,
035000141163,Household Essentials,1,399,n,n,Irish Spring Aloe,3 ct,,n,1,
035000446787,Household Essentials,1,349,n,n,Ajax Orange Dish Soap,28.00 Oz,,n,1,
035000450937,Household Essentials,1,599,n,n,Palmolive Ultra Strength,961ml,,n,1,
035000451187,Household Essentials,1,349,n,n,Palmolive Ultra Strength,20fl,,n,1,
035000463760,Household Essentials,1,499,n,n,Colgate,,,n,1,
035000464132,Household Essentials,1,399,n,n,palmolive Essential Clean original,"=""1""",,n,1,
035000510846,Health & Wellness,1,339,n,n,Colgate Triple action,"=""1""",,n,1,
035000510884,Health & Wellness,1,329,n,n,Colgate,6 oz,,n,1,
035000511058,Health & Wellness,1,189,n,n,Colgate Cavity Protection,2.5 Oz,,n,1,
035000511102,Health & Wellness,1,299,n,n,Colgate Triple Action Original Mint,2.5 oz,,n,1,
035000511119,Household Essentials,1,229,n,n,Colgate cavity 1.0 oz,1.0 oz,,n,1,
035000514066,Health & Wellness,1,399,n,n,Colgate,4oz,,n,1,
035000551146,Health & Wellness,1,249,n,n,Colgate Extra Clean Med,"=""1""",,n,1,
035000556769,Health & Wellness,1,199,n,n,Colgate Extra Clean Soft,"=""1""",,n,1,
035000556776,Health & Wellness,1,249,n,n,Colgate Extra Clean,"=""1""",,n,1,
035000767257,Health & Wellness,1,299,n,n,Colgate,2.5oz,,n,1,
035000974167,Household Essentials,1,499,n,n,Pamolive orignal,,,n,1,
035000975621,Household Essentials,1,299,n,n,Palmolive Essential Clean ApplePear,,,n,1,
035593160107,Food,1,329,n,n,Canary:Garbanzo Dry,24oz,,n,1,
035593160114,Food,1,389,n,n,Canary:Red Lentil Dry,24oz,,n,1,
035593170229,Food,1,1069,n,n,Bob's Red Mill:Beans Adzuki,28 oz,,n,1,
035751111064,Food,1,199,n,n,Bon Appetit Apple Danish,5 Oz,y,n,1,
035751111071,Food,1,199,n,n,Bon Appetit Bear Claw,5 Oz,,n,1,
035751111095,Food,1,199,n,n,Bon Appetit Cheese & Berries Danish,5 Oz,y,n,1,
035751111132,Food,1,199,n,n,Bon Appetit - Cheese Croissant,5 Oz,y,n,1,
035751113044,Food,1,199,n,n,Bon Appetit Muffin Banana Nut,5.5 Oz,y,n,1,
035751113051,Food,1,199,n,n,Bon Appeit: Bluberry Muffin,5.5 Oz,y,n,1,
035751114256,Food,1,199,n,n,Bon Appetit Banana Bread,4 Oz,y,n,1,
035751114270,Food,1,199,n,n,BON APPETIT,4 Oz,y,n,1,
035751114287,Food,1,199,n,n,Bon Appetit Lemon Cake,4 Oz,y,n,1,
036000010039,Health & Wellness,1,599,n,n,Kotex:Natural Balance Regular,24.00 CT,,n,1,
036000030211,Health & Wellness,1,699,n,n,Kotex:Natural Balance Long Super,22.00 CT,,n,1,
036000123234,Health & Wellness,1,139,y,n,Kleenex:Pocket Pack,10 CT,,n,1,
036000260854,Household Essentials,1,269,n,n,"Kleenex Facial Tissue , 184 ct",11in x 7in,,n,1,
036000374575,Household Essentials,1,329,n,n,Kleenex Tissues,"=""1""",,n,1,
036000499780,Health & Wellness,1,299,n,n,Kleenex: Anti viral tissue,,,n,1,
036000509571,Household Essentials,1,289,n,n,Kleenex soothing lotio,,,n,1,
036000517408,Household Essentials,1,399,n,n,K lotion,,,n,1,
036192105131,Food,1,559,n,n,Santa Cruz Organic:Organic Seedless Red Raspberry,9.50 OZ,,n,1,
036192105155,Food,1,699,n,n,Santa Cruz Organic:Organic Strawberry,9.50 OZ,,n,1,
036192120776,Food,1,649,n,n,Santa Cruz:Organic Chocolate  Syrup ,15.5 oz,,n,1,
036192122107,Food,1,579,n,n,Santa Cruz:Apple Sauce 6 Cups,4 oz,,n,1,
036192122152,Water/Juices,1,621,n,n,Santa Cruz Organic :100% Pure Lemon Juice,16 fl. oz.,,n,1,
036192122169,Water/Juices,1,599,n,n,Santa Cruz Organic :100% Pure  Lime Juice,16 fl. oz.,,n,1,
036192122220,Water/Juices,1,349,n,n,Santa Cruz Organic :Limeade,32 fl. oz.,,n,2,
036192122251,Water/Juices,1,349,n,n,Santa Cruz Organic :Mango Lemonade,32 fl. oz.,,n,2,
036192122268,Water/Juices,1,399,n,n,Santa Cruz Organic :Peach Lemonade,32 fl. oz.,,n,2,
036192122398,Water/Juices,1,629,n,n,Santa Cruz Organic:Organic Orange Mango,32.00 FL OZ,,n,2,
036192122411,Water/Juices,1,559,n,n,Santa Cruz Organic:Organic Apple,32.00 OZ,,n,2,
036192122459,Water/Juices,1,399,n,n,Santa Cruz Organic:Organic,32.00 FL OZ,,n,2,
036192122466,Water/Juices,1,349,n,n,Santa Cruz Organic :Strawberry Lemonade,32 fl. oz.,,n,2,
036192122480,Water/Juices,1,629,n,n,Santa Cruz Organic:Organic Apricot Mango,32.00 OZ,,n,2,
036192122831,Water/Juices,1,619,n,n,Santa Cruz Organic:Organic Cranberry Nectar,32.00 OZ,,n,1,
036192122893,Water/Juices,1,589,n,n,Santa Cruz Organic :White Grape,32 fl. oz.,,n,2,
036192122916,Food,1,549,n,n,Santa Cruz:Apple Sauce Jar,23 oz,,n,1,
036192123395,Food,1,1599,n,n,Santa CruzCreamy Dark Rosted Almond Butter,12oz,,n,1,
036192123678,Water/Juices,1,359,n,n,Santa Cruz Organic :Blueberry Lemonade,32 fl. oz.,,n,2,
036192123685,Water/Juices,1,359,n,n,Santa Cruz Organic :Ginger & Lemonade,32 fl. oz.,,n,2,
036192127003,Food,1,799,n,n,Santa Cruz Organic:Dark Roast Creamy Peanut Butter,16 oz,,n,1,
036192127010,Food,1,799,n,n,Santa Cruz Organic:Dark Roast Crunchy Peanut Butter,16 oz,,n,1,
036192127027,Food,1,799,n,n,Santa Cruz Organic:Light Roast Creamy Peanut Butter,16 oz,,n,1,
036192127034,Food,1,799,n,n,Santa Cruz Organic:Light Roast Crunchy Peanut Butter,16 oz,,n,1,
036200004449,Food,1,359,n,n,Ragu Chunky:Garden Combination,24.00 OZ,,n,1,
036200013694,Food,1,479,n,n,Ragu Classic Alfredo,16oz,,n,1,
036500303778,Household Essentials,1,129,n,n,marathon toilet paper,1roll,,n,0,
036602072909,Health & Wellness,1,339,n,n,Ricola :Cough & Throat Drop-  Cherry Honey 24 Drops,3.4oz,,n,1,
036602079175,Health & Wellness,1,339,n,n,Ricola :Cough & Throat Drop- Original 21 Drops,3.5oz,,n,1,
036602079489,Health & Wellness,1,339,n,n,Ricola :Lemon Mint Herb- 24 Drops,3.4oz,,n,1,
036602192102,Health & Wellness,1,339,n,n,Ricola Sugar Free:SF Cough & Throat Drop- Lemon Mint 19 Drops,2.8oz,,n,1,
036602300019,Health & Wellness,1,339,n,n,Ricola :Cough & Throat Drop - Honey Herb 24 Drops,3.4oz,,n,1,
036602301849,Health & Wellness,1,339,n,n,Ricola :Mixed Berry w/ Vitamin C - 19 Drops,2.5oz,,n,1,
036602311954,Health & Wellness,1,339,n,n,Ricola :Cough Drop- Honey Lemon w/ Echinacea 19 Drops,2.8oz,,n,1,
036602312029,Health & Wellness,1,339,n,n,"Ricola :Dual Action Cough +  Throat Honey Lemon, 19 Drops ",2.5oz,,n,1,
036602460850,Health & Wellness,1,339,n,n,Ricola :Cool Relief Lemon Frost- 19 Drops ,2.5oz,,n,1,
036632071279,Dairy,1,199,n,n,Horizon: Organic Milk,8oz,,n,1,
037000003106,Health & Wellness,1,489,n,n,Regular Cavity Protection,8.2 Oz,,n,1,
037000003403,Health & Wellness,1,199,n,n,"Crest Fluoride Anticavity Toothpaste, Regular Paste",0.85 oz,,n,1,
037000004707,Household Essentials,1,219,n,n,Gain Detergent Original,10 Oz,,n,1,
037000004714,Household Essentials,1,429,n,n,Tide Detergent Original Scent,10 Oz,,n,1,
037000006145,Household Essentials,1,269,n,n,Ultra Joy Lemon Scent,12.6 Oz,,n,1,
037000061946,Household Essentials,1,1049,n,n,Head & Shoulder Classic Clean Shampoo,13.5 Oz,,n,1,
037000061991,Health & Wellness,1,799,n,n,Head & Showlder Dry Scalp Care Shampoo,14.2 oz,,n,1,
037000062035,Household Essentials,1,999,n,n,Head & Shoulders 2 In 1 Classic Clean Shampoo + Conditioner,13.5 Oz,,n,1,
037000106135,Household Essentials,1,399,n,n,Downy,19 oz,,n,1,
037000110866,Household Essentials,1,499,n,n,Joy Dishwashing Liquid,30 Oz,,n,1,
037000123330,Health & Wellness,1,359,n,n,Secret Deodrant,1pk,,n,1,
037000124429,Health & Wellness,1,359,n,n,Secret Powder Fresh,1.7 oz,,n,1,
037000124450,Health & Wellness,1,359,n,n,Secret Solid Stick - Shower Fresh,1.7 Oz,,n,1,
037000127673,Household Essentials,1,1089,n,n,Gain Island Fresh Laundry Detergent,50 oz,,n,1,
037000127833,Household Essentials,1,669,n,n,Gain Original Liquid Detergent,25 Oz,,n,1,
037000131083,Household Essentials,1,879,n,n,Old Spice Classic,18 oz,,n,1,
037000137849,Household Essentials,1,749,n,n,Tide Bleach Alternative Original Scent Detergent,25.00 Oz,,n,1,
037000138754,Household Essentials,1,789,n,n,Tide Detergent Original Scent,25 Oz,,n,1,
037000138785,Household Essentials,1,1499,n,n,Tide Original Scent Laundry Detergent,50 Oz,,n,1,
037000138990,Household Essentials,1,1449,n,n,Tide Mountain Spring,50 oz,,n,1,
037000167709,Health & Wellness,1,899,n,n,Ols Spice Swagger Red Zone Body Wash,16 oz,,n,1,
037000255741,Household Essentials,1,539,n,n,Ivory Classic Dishwashing Liquid,24 Oz,,n,1,
037000277828,Household Essentials,1,699,n,n,Tide Ultra  Bleach,21 Oz,,n,1,
037000278313,Household Essentials,1,549,n,n,Gain Original Detergent,16 oz,,n,1,
037000306559,Health & Wellness,1,649,n,n,Always:Ultra Thin - Flexi-Wings,18.00 CT,,n,1,
037000306573,Health & Wellness,1,649,n,n,Always Ultra Thin Pads/Long/Super/Flexi-Wings,16 Pads,,n,1,
037000349662,Health & Wellness,1,499,n,n,Always Ultra Thin Flexi-wings Regular,10.00 Ct,,n,1,
037000349679,Health & Wellness,1,549,y,n,Always Normal Maxi Pads,8 Ct,,n,1,
037000349686,Health & Wellness,1,599,n,n,Always Maxi Pads Long Super,8.00 Ct,,n,1,
037000357513,Household Essentials,1,699,n,n,Ultra Downey Fabric Softener Ultra Concentrated April Fresh,34 Oz,,n,1,
037000359050,Health & Wellness,1,2399,n,n,Prilosec OTC:Acid Reducer,14.00 Tablets,,n,1,
037000398035,Household Essentials,1,299,n,n,Dawn Antibacterial Hand Soap  ,,,n,1,
037000402121,Household Essentials,1,1499,n,n,Tide Original  1.47L,Na,,n,1,
037000426899,Health & Wellness,1,299,n,n,Always Thin Active Clean Scent,20Ct,,n,1,
037000449805,Health & Wellness,1,699,n,n,Crest Pro Health Multi-Protection,8.4 Oz,,n,1,
037000480884,Household Essentials,1,759,n,n,Febreze,,,n,1,
037000509547,Household Essentials,1,979,n,n,Tide Pods Spring Meadow,14oz,,n,1,
037000513117,Health & Wellness,1,449,n,n,Crest Reg,4.2oz,,n,1,
037000537823,Household Essentials,1,299,n,n,Dawn Simply Clean,,,n,1,
037000591283,Household Essentials,1,399,n,n,Bounty,,,n,1,
037000598534,Health & Wellness,1,499,n,n,Crest 3D White,,,n,1,
037000612452,Health & Wellness,1,699,n,n,Crest:Gum Detoxify,"=""5.2""",n,n,1,
037000613138,Household Essentials,1,799,n,n,Charming,6pk,,n,1,
037000663072,Household Essentials,1,399,n,n,Bounty,,,n,1,
037000663652,Household Essentials,1,389,n,n,Bounty Nature,,,n,1,
037000733447,Health & Wellness,1,1079,n,n,Head & Shoulder,12.8oz,,n,1,
037000739364,Health & Wellness,1,489,n,n,Crest: Advnc Ext Whting,8.2oz,,n,1,
037000748991,Household Essentials,1,399,n,n,Bounty Advanced,,,n,1,
037000757443,Health & Wellness,1,399,y,n,Luvs: Wips,,,n,1,
037000762300,Household Essentials,1,269,n,n,Bounty Paper Towels 36 Sheets,"=""36""",,n,1,
037000771319,Household Essentials,1,599,n,n,Mr.Clean,45oz,,n,1,
037000778899,Household Essentials,1,399,n,n,Bounty,,,n,1,
037000796992,Household Essentials,1,579,n,n,Gain pods,,,n,1,
037000800491,Household Essentials,1,329,n,n,Dryer Sheets Outdoor Fresh Scent Fabric Softener,40 Sheets,,n,1,
037000806738,Household Essentials,1,699,n,n,Cascade 8.1oz,8.1oz,,n,1,
037000806882,Household Essentials,1,929,n,n,Cascade: original pods,,,n,1,
037000818113,Health & Wellness,1,899,n,n,Always Radiant Flex Foam,10 CT,,n,1,
037000823070,Health & Wellness,1,799,n,n,Crest mouthwash,,,n,1,
037000827894,Household Essentials,1,299,n,n,Dawn Original Scent Dishwashing Liquid,12.6 Oz,,n,1,
037000873372,Health & Wellness,1,499,n,n,Crest complete + Scope,,,n,1,
037000903918,Household Essentials,1,789,n,n,Tide Simply Clean And Fresh Laundry Liquid Detergent,25 oz,,n,1,
037000930358,Household Essentials,1,799,n,n,Tide Pods Original,14 Oz,,n,1,
037000958604,Household Essentials,1,199,n,n,Bounce Outdoor Fresh,15 ct,,n,1,
037000962526,Household Essentials,1,399,n,n,Febreze Air Gain,8.8 oz,,n,1,
037000962557,Household Essentials,1,499,n,n,Febreze Meadows & Rain,8.8oz,,n,1,
037000962601,Household Essentials,1,399,n,n,Febreze Air Hawaiian,"=""1""",,n,1,
037000962649,Household Essentials,1,369,n,n,Febreze Air Mediterranean Lavender,"=""8.800000000000001""",,n,1,
037000967989,Household Essentials,1,479,n,n,Charmin essentials soft 4 rolls bathroom tissue,4 rolls,,n,1,
037000973065,Household Essentials,1,539,n,n,Dawn AB Hand Soap,573ml,,n,1,
037000973324,Health & Wellness,1,789,n,n,Vicks VaporInhaler,,,n,1,
037102281488,Fresh Produce,1,799,n,n,org Mushrooms,,,n,1,
037466014005,Food,1,629,n,n,Lindt: Truffles -  Dark Chocolate,,,n,1,
037466015842,Food,1,629,n,n,Lindt: Truffles - Milk Chocolate,,,n,1,
037466015859,Food,1,629,n,n,Lindt: Truffles -  Assorted Chocolate,,,n,1,
037466016436,Candies/Bars/Gum,1,379,n,n,Lindt: Milk Extra Creamy,3.5 oz,,n,1,
037466016450,Food,1,379,n,n,Lindt: Excellence-85% Cocoa,100 gr,,n,1,
037466016467,Food,1,379,n,n,Lindt: Excellence-White Coconut,100 gr,,n,1,
037466017631,Candies/Bars/Gum,1,379,n,n,Lindt:Excellence: 70%,3.5 oz,,n,1,
037466018553,Food,1,629,n,n,Lindt: Truffles - White Chocolate ,,,n,1,
037466019314,Candies/Bars/Gum,1,379,n,n,Lindt:Lindor Singles: Milk,3.5 oz,,n,1,
037466023427,Food,1,379,n,n,Lindt: Excellence-Intense Orange,100 gr,,n,1,
037466030777,Food,1,629,n,n,Lindt: Truffles - Extra Dark Chocolate ,,,n,1,
037466030890,Food,1,379,n,n,Lindt: Excellence-Intense Mint,100 gr,,n,1,
037466039411,Candies/Bars/Gum,1,379,n,n,Lindt:Excellence: Dark Sea Salt,3.5oz,,n,1,
037466042695,Candies/Bars/Gum,1,379,n,n,Lindt:Excellence: 90%,3.5 oz,,n,1,
037466047263,Candies/Bars/Gum,1,379,n,n,Lindt:Classic: White Chocolate  ,4.2 oz,,n,1,
037466062266,Food,1,379,n,n,Lindt: Excellence Dark w/ Coconut,3.5 oz,,n,1,
037466062273,Candies/Bars/Gum,1,379,n,n,Lindt:Excellence: Caramel w/ Sea Salt,3.5 oz,,n,1,
037466080093,Candies/Bars/Gum,1,379,n,n,Lindt:Lindor Singles: White,3.5 oz,,n,1,
037466083230,Candies/Bars/Gum,1,379,n,n,Lindt:Classic: Milk Chocolate,3.5oz,,n,1,
037466083247,Candies/Bars/Gum,1,379,n,n,Lindt:Classic: Milk Hazelnut,3.5 oz,,n,1,
037466083315,Candies/Bars/Gum,1,379,n,n,Lindt:Excellence: Intense Orange,3.5oz,,n,1,
037600110723,Food,1,429,n,n,Skippy Peanut Butter - Chunky,16.30 Oz,,n,1,
037600110754,Food,1,429,n,n,Skippy Peanut Butter Creamy,16.30 Oz,y,n,1,
037600110877,Food,1,449,n,n,Skippy Honey Roasted Creamy Peanut Butter,6.3 Oz,y,n,1,
037600115445,Food,1,499,n,n,Spam:25% Less Sodium,12.00 OZ,,n,1,
037600138727,Food,1,545,n,n,Spam Classic,12.00 OZ,,n,1,
037600216296,Food,1,229,n,n,Hormel:Beef In Chili Sauce,15.00 OZ,,n,1,
037600223324,Food,1,829,n,n,Skippy Peanut Butter,48 oz,,n,1,
037600223348,Food,1,829,n,n,Skippy Peanut Butter Chunky,48 oz,,n,1,
037600246095,Food,1,359,n,n,Dinty Moore W/Fresh Potatoes & Carrots,15.00 OZ,,n,1,
037600790796,Food,1,329,n,n,Mary's: Chili Verde,15oz,,n,1,
037900990025,Household Essentials,1,169,n,n,Ronson Flints,5.00 EA,,n,1,
037900990612,Household Essentials,1,199,n,n,Ronsonol Lighter Fuel,5.00 FL OZ,,n,1,
037900991428,Household Essentials,1,299,n,n,Ronson Multi-Fill Butane Fuel,1.48 FL OZ,,n,1,
037900991442,Household Essentials,1,399,n,n,Ronson Multi-Fill Butane Fuel,2.75 FL OZ,,n,1,
038000016110,Food,1,499,n,n,Kellogg's Special K Original,12.00 OZ,,n,1,
038000019210,Candies/Bars/Gum,1,129,n,n,Pop-tarts Toaster Pastries Frosted Chocolate Chip,"=""99""",,n,1,
038000131905,Candies/Bars/Gum,1,159,n,n,Rice Krispies Treats Blasted W/ M&M Minis,2.1  oz,,n,1,
038000138416,Chips,1,249,n,n,Pringles Original,5.2 oz,,n,1,
038000138430,Chips,1,249,n,n,Pringles:Sour Cream & Onion,5.5 OZ,,n,1,
038000138607,Chips,1,249,n,n,Pringles Salt & Vinegar,5.2 oz,,n,1,
038000138874,Chips,1,249,n,n,Pringles Jalapeno,5.5 oz,,n,1,
038000183713,Chips,1,299,n,n,PRNGL BARBEQUE,5.57OZ,,n,1,
038000199943,Food,1,569,n,n,Rice krispies,,,n,1,
038000200304,Food,1,499,n,n,SK,,,n,1,
038000200366,Food,1,499,n,n,SK ,,,n,1,
038000200458,Food,1,499,n,n,Sk,,,n,1,
038000200748,Food,1,499,n,n,K red berries 11.7 oz,,,n,1,
038000200786,Food,1,499,n,n,SK,,,n,1,
038000214103,Food,1,899,n,n,K Raisin Bran,,,n,1,
038000214691,Food,1,699,n,n,Kellogg's: Honey Almond Proten,1lb,,n,1,
038000218576,Candies/Bars/Gum,1,159,n,n,Pop tart pretzel,,,n,1,
038000230936,Food,1,499,n,n,SpongeBob,,,n,1,
038000236334,Food,1,799,n,n,Sponges,,,n,1,
038000310317,Candies/Bars/Gum,1,129,n,n,Kellogg's Pop Tarts:Frosted Blueberry,3.67 OZ,,n,1,
038000317316,Food,1,129,n,n,Kellogg's Pop Tarts Frosted Strawberry,3.67 OZ,,n,1,
038000318405,Food,1,129,n,n,Kellogg's Pop Tarts:Frosted Cherry,3.67 OZ,,n,1,
038000319211,Food,1,899,n,n,Kellogg's Mini Wheats,4lb,,n,1,
038000402906,Food,1,399,n,n,Kellogg's Eggo:Buttermilk,12.30 OZ,,n,1,
038000403200,Frozen Food,1,449,n,n,Kellogg's:Eggo Blueberry 10 Ct,12.30 OZ,,n,1,
038000590993,Candies/Bars/Gum,1,159,n,n,Kellogg's Rice Krispies Treats:The Original,2.20 OZ,,n,1,
038000787041,Food,1,499,n,n,Special K Cinnamon Pecan Cereal,12.1 Oz,,n,1,
038004218572,Food,1,129,n,n,Pop Tarts Pretzel,,,n,1,
038024211256,Food,1,559,n,n,Conola Spray,,,n,1,
038100001306,Pets,1,369,n,n,Beggin' Strips:Bacon Flavor (Ps #1411224),3.00 OZ,,n,1,
038101247468,Food,1,1199,n,n,Antipasto Dry Salami,,,n,1,
038274415053,Food,1,549,n,n,Hen Crunchy Gherkins pickle,,,n,1,
038274516118,Food,1,449,n,n,Wine Sauerkraut,,,n,1,
038488704011,Health & Wellness,1,599,n,n,Hand Sanitizer ,,,n,1,
038577171786,Food,1,599,n,n,Dried Porcini,21g,,n,1,
038577191982,Food,1,399,n,n,Dried Shiitake,21g,,n,1,
038900001438,Food,1,199,n,n,Dole Pineapple Slices In Heavy Syrup,20.00 OZ,,n,1,
038900004736,Food,1,229,n,n,Dole Canned Fruit:Chunks In 100% Pineapple Juice,20.00 OZ,,n,1,
038900008185,Water/Juices,1,499,n,n,Dole: 100% Juice Pineapple,46.00 FL OZ,,n,2,
038900009472,Water/Juices,1,499,n,n,Dole 100% Juice:6 Oz,6.00 PK,,n,6,
038947000050,Water/Juices,1,359,n,n,Volvic Spring Water:Volvic Water 1.5 ltr,1.5 Ltr,,n,2,
038947000067,Water/Juices,1,159,n,n,Volvic Spring Water:Volvic Water  0.5 ltr,0.5 Ltr,,n,2,
038947000074,Water/Juices,1,299,n,n,Volvic Spring Water:Volvic Water  1 ltr,1.0 Ltr,,n,2,
039000045049,Food,1,329,n,n,Libby's:100% Pure,15.00 OZ,,n,1,
039000085687,Food,1,329,n,n,Libby's:Corned Beef Hash,15.00 OZ,,n,1,
039000086639,Food,1,149,n,n,Libby's: Vienna Sausage,4.6 oz,,n,1,
039000086691,Food,1,149,n,n,Libbys Chicken Vienna Sausage In Chicken Broth,4.6 Oz,,n,1,
039000604840,Food,1,399,n,n,Libby's Organic Pumpkin,15 oz,,n,1,
039047001152,Food,1,529,n,n,Walkers Shortbread:Shortbread Fingers,5.3 oz,,n,1,
039047001169,Candies/Bars/Gum,1,149,n,n,Walkers:Pure Butter,1.40 OZ,,n,1,
039047001312,Food,1,529,n,n,Walkers : Triangles Shortbread,5.3 oz,,n,1,
039047001404,Food,1,529,n,n,Walkers: Shortbread Rounds,5.3 oz,,n,1,
039047001459,Food,1,529,n,n,Walkers: Highlanders Shortbread,4.7 oz,,n,1,
039047001466,Food,1,139,n,n,Walkers Shortbread:2ct Shortbread Fingers,2 ct,,n,1,
039047005426,Food,1,559,n,n,Walkers Shortbread:Stem Ginger Biscuit (Bag) ,5.3 oz,,n,1,
039047017689,Food,1,489,n,n,Walkers Shortbread:Mini Chocolate Chip Rounds,4.4 oz,,n,1,
039047017962,Food,1,489,n,n,Walkers Shortbread:Mini Fingers (Bag),4.4 oz,,n,1,
039047018136,Food,1,529,n,n,Walkers: Scottie Dogs Shortbread,3.9 oz,,n,1,
039047054271,Food,1,489,n,n,Walkers Shortbread:Mini Crunchy Oatmeal (Bag),4.4 oz,,n,1,
